time,Fx_real,Fy_real,Fz_real,,,
0.001569,-0.013655373,-0.020594822,-27.20233719,,,
0.003138,0.022868975,0.028687027,-27.18296519,,,
0.004707,0.06578097,-0.001285091,-27.12606354,,,
0.006276,0.042410013,-0.055130815,-26.96699513,,,
0.007845,-0.05921406,-0.023423891,-26.92636952,,,
0.009414,-0.073737504,-0.051363171,-26.89637071,,,
0.010983,-0.046109599,-0.064436495,-26.91952815,,,
0.012552,-0.023588253,-0.139322308,-26.97792886,,,
0.014121,-0.025376438,-0.128179512,-27.03543547,,,
0.01569,-0.044792926,-0.093999377,-27.09144748,,,
0.017259,-0.070036584,-0.071304549,-27.08475735,,,
0.018828,-0.077629698,-0.107610935,-27.13114341,,,
0.020397,0.018527511,-0.095560703,-27.10771907,,,
0.021966,-0.010465998,-0.166371944,-26.99666032,,,
0.023535,-0.119665394,-0.134180164,-26.9010369,,,
0.025104,-0.185441248,-0.098683354,-26.88486761,,,
0.026673,-0.136871115,-0.134758432,-26.88641559,,,
0.028242,-0.076232957,-0.109754978,-26.9491711,,,
0.029811,-0.113589123,-0.166202912,-26.97788437,,,
0.03138,-0.112432585,-0.180717459,-27.00724709,,,
0.032949,-0.106850067,-0.1540993,-27.09348921,,,
0.034518,-0.189449096,-0.088657062,-27.0756385,,,
0.036087,-0.129117865,-0.116480689,-27.07301404,,,
0.037656,-0.069186973,-0.092162261,-27.08879189,,,
0.039225,-0.076157337,-0.141875587,-27.01051653,,,
0.040794,-0.144646607,-0.159726301,-26.94019014,,,
0.042363,-0.223175513,-0.042956032,-26.88001015,,,
0.043932,-0.173822493,-0.127814758,-26.93858878,,,
0.045501,-0.136070435,-0.102166312,-26.95083474,,,
0.04707,-0.13428225,-0.141426317,-27.00738053,,,
0.048639,-0.126213176,-0.181095558,-27.08295137,,,
0.050208,-0.114149599,-0.115568804,-27.12026306,,,
0.051777,-0.158293751,-0.05494399,-27.16650677,,,
0.053346,-0.106529795,-0.057452787,-27.1495546,,,
0.054915,-0.067536683,-0.073937897,-27.13972403,,,
0.056484,-0.040589356,-0.159357099,-27.12295868,,,
0.058053,-0.135447684,-0.096730585,-26.98291531,,,
0.059622,-0.188159112,-0.078199293,-26.95518955,,,
0.061191,-0.103158043,0.011730406,-26.9645664,,,
0.06276,-0.073074719,-0.123669016,-26.98710999,,,
0.064329,-0.100667039,-0.126996285,-27.02897665,,,
0.065898,-0.068150538,-0.088532512,-27.15256159,,,
0.067467,-0.094595216,-0.07212747,-27.15327776,,,
0.069036,-0.10273991,-0.002601765,-27.1774316,,,
0.070605,-0.002997434,-0.020403548,-27.17957564,,,
0.072174,0.007540403,-0.011711723,-27.14482614,,,
0.073743,-0.05025979,-0.031297243,-26.97672784,,,
0.075312,-0.141893158,-0.027760907,-26.9460529,,,
0.076881,-0.096267747,0.032169984,-26.89738046,,,
0.07845,-0.049779382,0.060807636,-26.99285709,,,
0.080019,0.002660704,0.000298476,-27.04964754,,,
0.081588,-0.012903624,-0.019607317,-27.07689289,,,
0.083157,-0.012343148,0.035372704,-27.17236063,,,
0.084726,-0.077985556,-0.005346318,-27.13572063,,,
0.086295,-0.035980998,-0.020430238,-27.16996304,,,
0.087864,0.039371878,0.054753606,-27.17239177,,,
0.089433,0.037677105,-0.028481519,-27.12558758,,,
0.091002,-0.023254636,0.024599111,-26.94796564,,,
0.092571,-0.112308035,0.010213562,-26.88663355,,,
0.09414,-0.07702474,0.04949136,-26.91443049,,,
0.095709,-0.045664777,-0.008775897,-26.9494202,,,
0.097278,-0.032951759,-0.020781647,-26.96617665,,,
0.098847,-0.012828004,-0.059943791,-27.04293517,,,
0.100416,-0.042270784,-0.077345235,-27.10597092,,,
0.101985,-0.056892089,-0.03130614,-27.09311556,,,
0.103554,0.009635515,0.080602222,-27.06740039,,,
0.105123,0.004026308,-0.04443729,-27.05508771,,,
0.106692,0.043757824,0.004319668,-26.94615076,,,
0.108261,-0.100933932,-0.027614116,-26.86391649,,,
0.10983,-0.109683584,0.03140489,-26.85461081,,,
