time,Fx_sim,Fy_sim,Fz_sim
0.002,2.57748,-5.88E-11,15.0346
0.004,2.57748,-5.88E-11,15.0346
0.006,3.73478,-5.34E-12,15.0238
0.008,4.40373,-3.78E-12,15.0155
0.01,4.79126,-3.64E-12,15.0112
0.012,5.01738,-3.54E-12,15.0116
0.014,4.994,-3.58E-12,14.9307
0.016,5.11206,-3.49E-12,15.1347
0.018,4.99533,-3.37E-12,17.1293
0.02,5.55024,-3.27E-12,17.2524
0.022,5.99638,-3.20E-12,16.904
0.024,6.14611,-3.12E-12,16.8801
0.026,6.23495,-3.02E-12,16.8856
0.028,6.29676,-2.94E-12,16.9071
0.03,6.34763,-2.85E-12,16.9381
0.032,6.24353,-2.85E-12,16.8868
0.034,6.35539,-2.78E-12,16.9229
0.036,6.43755,-2.70E-12,16.9857
0.038,6.51158,-2.62E-12,17.0515
0.04,6.58259,-2.54E-12,17.1172
0.042,6.59375,-2.54E-12,17.1669
0.044,6.70531,-2.47E-12,17.1991
0.046,6.7876,-2.39E-12,17.27
0.048,6.86551,-2.32E-12,17.3481
0.05,6.94349,-2.24E-12,17.4282
0.052,7.05332,-2.23E-12,17.5669
0.054,7.15427,-2.16E-12,17.5873
0.056,7.22787,-2.09E-12,17.6611
0.058,7.30241,-2.01E-12,17.7481
0.06,7.3814,-1.95E-12,17.8405
0.062,7.58844,-1.93E-12,18.074
0.064,7.67387,-1.87E-12,18.0809
0.066,7.73425,-1.79E-12,18.1561
0.068,7.8014,-1.72E-12,18.2512
0.07,7.87772,-1.65E-12,18.3556
0.072,8.18394,-1.62E-12,18.6945
0.074,8.2495,-1.57E-12,18.6856
0.076,8.29231,-1.49E-12,18.7607
0.078,8.35761,-2.07E-12,18.7356
0.08,8.40899,1.30E-12,18.6254
0.082,8.70952,-1.88E-13,19.3879
0.084,8.80382,-6.01E-13,19.2684
0.086,8.83737,-6.18E-13,19.1532
0.088,8.84128,-5.91E-13,19.0403
0.09,8.83096,-5.36E-13,18.9291
0.092,9.18251,-8.26E-13,19.8898
0.094,9.2603,-7.20E-13,19.7684
0.096,9.28133,-5.57E-13,19.6505
0.098,9.2751,-4.18E-13,19.5347
0.1,9.25591,-3.06E-13,19.4206
0.102,9.65939,-3.05E-13,20.5704
0.104,9.739,-2.35E-13,20.4488
0.106,9.75522,-1.59E-13,20.3305
0.108,9.74146,-9.82E-14,20.2145
0.11,9.71363,-4.83E-14,20.1008
0.112,10.1431,3.04E-14,21.4299
0.114,10.1917,2.88E-13,21.3494
0.116,10.1244,3.31E-13,21.332
0.118,10.1009,3.16E-13,21.2948
0.12,10.1526,3.26E-13,21.2394
0.122,10.5976,4.22E-13,22.6052
0.124,10.8731,4.27E-13,22.5343
0.126,11.006,4.65E-13,22.4688
0.128,11.0361,4.88E-13,22.4148
0.13,10.9954,4.80E-13,22.3739
0.132,10.8416,4.75E-13,23.2329
0.134,11.1159,6.41E-13,23.2137
0.136,11.3287,6.78E-13,23.2005
0.138,11.453,6.67E-13,23.1847
0.14,11.4261,7.42E-13,23.1611
0.142,11.5516,8.69E-13,24.6777
0.144,11.6253,8.74E-13,24.6504
0.146,11.5938,9.12E-13,24.6313
0.148,11.7189,1.16E-12,24.6218
0.15,12.0623,2.50E-12,24.6156
0.152,12.3565,3.47E-12,26.2578
0.154,12.7586,3.41E-12,26.2331
0.156,13.1001,3.23E-12,26.1929
0.158,13.4082,3.11E-12,26.1375
0.16,13.6535,3.04E-12,26.0689
0.162,13.4713,3.43E-12,27.5994
0.164,13.6472,3.42E-12,27.5173
0.166,13.7263,3.39E-12,27.4346
0.168,13.736,3.34E-12,27.3525
0.17,13.7013,3.30E-12,27.27
0.172,12.5669,3.53E-12,28.0113
0.174,12.6294,3.48E-12,27.9317
0.176,12.6865,3.44E-12,27.8577
0.178,12.7291,3.40E-12,27.7897
0.18,12.7561,3.37E-12,27.7266
0.182,11.5563,3.59E-12,28.4837
0.184,11.6713,3.56E-12,28.4295
0.186,11.7942,3.54E-12,28.3815
0.188,16.549,4.65E-12,28.3905
0.19,9.84517,2.99E-12,28.4463
0.192,11.2095,3.82E-12,29.7336
0.194,15.0451,4.79E-12,29.7705
0.196,9.4988,2.94E-12,29.802
0.198,11.8541,3.64E-12,29.7964
0.2,15.1703,4.69E-12,29.7833
0.202,9.81621,3.38E-12,31.5586
0.204,14.2437,4.96E-12,31.574
0.206,10.6042,3.58E-12,31.5944
0.208,14.2491,4.94E-12,31.6166
0.21,14.1291,4.87E-12,31.6916
0.212,10.0407,4.07E-12,34.3983
0.214,13.3033,5.34E-12,34.4101
0.216,13.3006,5.30E-12,34.425
0.218,10.8999,4.25E-12,34.4133
0.22,13.4387,5.34E-12,34.3655
